"","country_name","total_surveyed.x","map_region.x","total_effective","percent_eff","total_surveyed.y","map_region.y","total_science","prop_sci"
"91","Netherlands",1001,"Europe",359,0.36,1001,"Europe",614,0.61
"92","New Zealand",1002,"Asia and Australia",568,0.57,1002,"Asia and Australia",627,0.63
"93","Nicaragua",1000,"Americas",714,0.71,1000,"Americas",443,0.44
"94","Niger",1000,"Sub-Saharan Africa",550,0.55,1000,"Sub-Saharan Africa",272,0.27
"95","Nigeria",1000,"Sub-Saharan Africa",594,0.59,1000,"Sub-Saharan Africa",411,0.41
"96","Norway",1000,"Europe",626,0.63,1000,"Europe",817,0.82
"97","Pakistan",1000,"Asia and Australia",521,0.52,1000,"Asia and Australia",378,0.38
"98","Palestinian Territories",1000,"Middle East and North Africa",823,0.82,1000,"Middle East and North Africa",580,0.58
"99","Panama",1000,"Americas",583,0.58,1000,"Americas",448,0.45
"100","Paraguay",1000,"Americas",509,0.51,1000,"Americas",364,0.36
"101","Peru",1000,"Americas",388,0.39,1000,"Americas",510,0.51
"102","Philippines",1000,"Asia and Australia",543,0.54,1000,"Asia and Australia",556,0.56
"103","Poland",1000,"Former Soviet Union",617,0.62,1000,"Former Soviet Union",666,0.67
"104","Portugal",1001,"Europe",409,0.41,1001,"Europe",656,0.66
"105","Republic of Congo",1000,"Sub-Saharan Africa",608,0.61,1000,"Sub-Saharan Africa",505,0.5
"106","Romania",1002,"Former Soviet Union",588,0.59,1002,"Former Soviet Union",510,0.51
"107","Russia",2000,"Former Soviet Union",728,0.36,2000,"Former Soviet Union",1168,0.58
"108","Rwanda",1000,"Sub-Saharan Africa",743,0.74,1000,"Sub-Saharan Africa",120,0.12
"109","Saudi Arabia",1016,"Middle East and North Africa",607,0.6,1016,"Middle East and North Africa",594,0.58
"110","Senegal",1000,"Sub-Saharan Africa",564,0.56,1000,"Sub-Saharan Africa",393,0.39
"111","Serbia",1000,"Europe",528,0.53,1000,"Europe",570,0.57
"112","Sierra Leone",1000,"Sub-Saharan Africa",750,0.75,1000,"Sub-Saharan Africa",231,0.23
"113","Singapore",1000,"Asia and Australia",318,0.32,1000,"Asia and Australia",614,0.61
"114","Slovakia",1000,"Former Soviet Union",597,0.6,1000,"Former Soviet Union",497,0.5
"115","Slovenia",1000,"Europe",456,0.46,1000,"Europe",706,0.71
"116","South Africa",1000,"Sub-Saharan Africa",266,0.27,1000,"Sub-Saharan Africa",331,0.33
"117","South Korea",1014,"Asia and Australia",226,0.22,1014,"Asia and Australia",482,0.48
"118","Spain",1000,"Europe",627,0.63,1000,"Europe",723,0.72
"119","Sri Lanka",1109,"Asia and Australia",548,0.49,1109,"Asia and Australia",690,0.62
"120","Sweden",1000,"Europe",536,0.54,1000,"Europe",730,0.73
"121","Switzerland",1000,"Europe",306,0.31,1000,"Europe",712,0.71
"122","Taiwan",1000,"Asia and Australia",295,0.3,1000,"Asia and Australia",456,0.46
"123","Tajikistan",1000,"Asia and Australia",827,0.83,1000,"Asia and Australia",561,0.56
"124","Tanzania",1000,"Sub-Saharan Africa",737,0.74,1000,"Sub-Saharan Africa",472,0.47
"125","Thailand",1000,"Asia and Australia",606,0.61,1000,"Asia and Australia",362,0.36
"126","The Gambia",1000,"Sub-Saharan Africa",683,0.68,1000,"Sub-Saharan Africa",238,0.24
"127","Togo",1000,"Sub-Saharan Africa",405,0.41,1000,"Sub-Saharan Africa",443,0.44
"128","Tunisia",1001,"Middle East and North Africa",531,0.53,1001,"Middle East and North Africa",487,0.49
"129","Turkey",1000,"Middle East and North Africa",580,0.58,1000,"Middle East and North Africa",615,0.62
"130","Turkmenistan",1000,"Asia and Australia",744,0.74,1000,"Asia and Australia",797,0.8
"131","Uganda",1000,"Sub-Saharan Africa",562,0.56,1000,"Sub-Saharan Africa",576,0.58
"132","Ukraine",1000,"Former Soviet Union",297,0.3,1000,"Former Soviet Union",693,0.69
"133","United Arab Emirates",1005,"Middle East and North Africa",504,0.5,1005,"Middle East and North Africa",628,0.62
"134","United Kingdom",1000,"Europe",597,0.6,1000,"Europe",681,0.68
"135","United States",1006,"Americas",611,0.61,1006,"Americas",839,0.83
"136","Uruguay",1000,"Americas",529,0.53,1000,"Americas",428,0.43
"137","Uzbekistan",1000,"Asia and Australia",814,0.81,1000,"Asia and Australia",507,0.51
"138","Venezuela",1000,"Americas",737,0.74,1000,"Americas",417,0.42
"139","Vietnam",1012,"Asia and Australia",205,0.2,1012,"Asia and Australia",230,0.23
"140","Yemen",1000,"Middle East and North Africa",659,0.66,1000,"Middle East and North Africa",348,0.35
"141","Zambia",1000,"Sub-Saharan Africa",528,0.53,1000,"Sub-Saharan Africa",497,0.5
"142","Zimbabwe",1000,"Sub-Saharan Africa",726,0.73,1000,"Sub-Saharan Africa",469,0.47
